path,field,class,reason
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition) > Attachments,Universal Resource Identified,A,attachments
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition) > Attachments,Multipurpose Internet Mail Extensions,A,attachments
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Supporting documents (for emissions definition) > Attachments,Included binary object,A,attachments
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Sequence number,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Type of instrument,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Description and indication of legal act,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Amount of carbon price due,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Currency,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Exchange rate,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Amount (EURO),S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due,Country code,S,origin-country carbon price paid by operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,Sequence number,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,Type of goods covered,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,CN code of goods covered,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,Quantity of emissions covered,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,"Quantity covered by free allocations, any rebate or other form of compensation",S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,Supplementary information,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due,Additional information,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due > Goods measure (covered),Net mass,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due > Goods measure (covered),Supplementary units,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Carbon price due > Goods covered under carbon price due > Goods measure (covered),Type of measurement unit,S,operator
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Remarks,Sequence number,A,free text
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Remarks,Additional Information,A,free text
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Remarks,"Representatives/importers shall be registered either at CBAM report level or at the CBAM goods imported level, which shall depend on whether the same or different representatives/importers are related to CBAM goods imported.",A,free text
Type of applicable reporting methodology > Indirect embedded emissions > Production method & qualifying parameters > Remarks,"Representatives/importers shall be registered either at CBAM report level or at the CBAM goods imported level, which shall depend on whether the same or different representatives/importers are related to CBAM goods imported.",A,free text
